json,regio
db/rvr/geojson/1e_herziening_serie1.geojson|05 dodewaard_1873,eerste herziening-1-5-1873-dodewaard
db/rvr/geojson/1e_herziening_serie1.geojson|06 leeuwen_1874,eerste herziening-1-6-1874-leeuwen
db/rvr/geojson/1e_herziening_serie1.geojson|07 tiel_1874,eerste herziening-1-7-1874-tiel
db/rvr/geojson/1e_herziening_serie1.geojson|08 varik_1874,eerste herziening-1-8-1874-varik
db/rvr/geojson/1e_herziening_serie1.geojson|09 zaltbommel_1875,eerste herziening-1-9-1875-zaltbommel
db/rvr/geojson/1e_herziening_serie1.geojson|10 zuilichem_1875,eerste herziening-1-10-1875-zuilichem
db/rvr/geojson/1e_herziening_serie1.geojson|11 brakel_1875,eerste herziening-1-11-1875-brakel
db/rvr/geojson/1e_herziening_serie1.geojson|12 gorinchem_1884,eerste herziening-1-12-1876-gorinchem
db/rvr/geojson/1e_herziening_serie1.geojson|13 werkendam_1877,eerste herziening-1-13-1877-werkendam
db/rvr/geojson/1e_herziening_serie1.geojson|14 giessendam_1877,eerste herziening-1-14-1877-giessendam
db/rvr/geojson/1e_herziening_serie1.geojson|15 sliedrecht_1878,eerste herziening-1-15-1878-sliedrecht
db/rvr/geojson/1e_herziening_serie1.geojson|16 dordrecht_tweede uitgave_1890,eerste herziening-1-16-1890-dordrecht
db/rvr/geojson/1e_herziening_serie1.geojson|17 heerjansdam_1878,eerste herziening-1-17-1878-heerjansdam
db/rvr/geojson/1e_herziening_serie1.geojson|17 krimpen aan de lek_1879,eerste herziening-1-17-1879-krimpen a/d lek
db/rvr/geojson/1e_herziening_serie1.geojson|18 heinenoord_1879,eerste herziening-1-18-1879-heinenoord
db/rvr/geojson/1e_herziening_serie1.geojson|18 moerdijk_1885,eerste herziening-1-18-1885-moerdijk
db/rvr/geojson/1e_herziening_serie1.geojson|20 hoogvliet_1880,eerste herziening-1-20-1880-hoogvliet
db/rvr/geojson/1e_herziening_serie1.geojson|21 vlaardingen_1881,eerste herziening-1-21-1881-vlaardingen
db/rvr/geojson/1e_herziening_serie1.geojson|22 maassluis_1880,eerste herziening-1-22-1880-maassluis
db/rvr/geojson/1e_herziening_serie1.geojson|23 brielle_1880,eerste herziening-1-23-1880-brielle
db/rvr/geojson/1e_herziening_serie1.geojson|25 hoek van holland_1881,eerste herziening-1-25-1881-hoek van holland
db/rvr/geojson/1e_herziening_serie1.geojson|supplement_alblasserdam_1879,eerste herziening-1-s 2-1879-supplementblad no. 2 pelser en noord. alblasserdam
db/rvr/geojson/1e_herziening_serie1.geojson|supplement_nieuw-beijerland_1880,eerste herziening-1-s 2-1880-supplementblad no. 2 spui : nieuw-beijerland
db/rvr/geojson/1e_herziening_serie1.geojson|supplement_s_gravendeel_1880,"eerste herziening-1-s 1-1880-supplementblad no. 1 mallegat, dordtsche kil en nieuwe merwede : �s gravendeel"
db/rvr/geojson/1e_herziening_serie2.geojson|01 schenkenschans_1874,eerste herziening-2-1-1874-schenkenschans
db/rvr/geojson/1e_herziening_serie2.geojson|02 kekerdom_1873,eerste herziening-2-2-1873-kekerdom
db/rvr/geojson/1e_herziening_serie2.geojson|03 angeren_1876,eerste herziening-2-3-1876-angeren
db/rvr/geojson/1e_herziening_serie2.geojson|04 westervoort_1877,eerste herziening-2-4-1877-westervoort
db/rvr/geojson/1e_herziening_serie2.geojson|05 arnhem_1881,eerste herziening-2-5-1881-arnhem
db/rvr/geojson/1e_herziening_serie2.geojson|06 heteren_1881,eerste herziening-2-6-1881-heteren
db/rvr/geojson/1e_herziening_serie2.geojson|07 opheusden_1881,eerste herziening-2-7-1881-opheusden
db/rvr/geojson/1e_herziening_serie2.geojson|08 rheenen_1881,eerste herziening-2-8-1881-rheenen
db/rvr/geojson/1e_herziening_serie2.geojson|09 maurik_1882,eerste herziening-2-9-1882-maurik
db/rvr/geojson/1e_herziening_serie2.geojson|10 wijk bij duurstede_1882,eerste herziening-2-10-1882-wijk bij duurstede
db/rvr/geojson/1e_herziening_serie2.geojson|11 culemborg_1882,eerste herziening-2-11-1882-culemborg
db/rvr/geojson/1e_herziening_serie2.geojson|12 hagestein_1882,eerste herziening-2-12-1882-hagestein
db/rvr/geojson/1e_herziening_serie2.geojson|13 vianen_1883,eerste herziening-2-13-1883-vianen
db/rvr/geojson/1e_herziening_serie2.geojson|14 ameide_1883,eerste herziening-2-14-1883-ameide
db/rvr/geojson/1e_herziening_serie2.geojson|15 schoonhoven_1883,eerste herziening-2-15-1883-schoonhoven
db/rvr/geojson/1e_herziening_serie2.geojson|16 lekkerkerk_1883,eerste herziening-2-16-1883-lekkerkerk
db/rvr/geojson/1e_herziening_serie2.geojson|17 krimpen ad lek_1879,eerste herziening-2-17-1879-krimpen aan de lek
db/rvr/geojson/1e_herziening_serie2.geojson|18 rotterdam_1880,eerste herziening-2-18-1880-rotterdam
db/rvr/geojson/1e_herziening_serie2.geojson|19 vlaardingen_1881,eerste herziening-2-19-1881-vlaardingen
db/rvr/geojson/1e_herziening_serie2.geojson|20 maassluis_1880,eerste herziening-2-20-1880-maassluis
db/rvr/geojson/1e_herziening_serie2.geojson|21 de lier_1881,eerste herziening-2-21-1881-de lier
db/rvr/geojson/1e_herziening_serie2.geojson|22 hoek van holland_1881,eerste herziening-2-22-1881-hoek van holland
db/rvr/geojson/1e_herziening_serie2.geojson|s1 aerdt_1887,eerste herziening-2-s1-1887-supplement : aerdt
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|17 krimpen ad lek_2e uitg_1907,eerste herziening-2-17-1907-krimpen aan de lek
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|18 rotterdam_2e uitg_1904,eerste herziening-2-18-1904-rotterdam
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|19 vlaardingen_2e uitg_1906,eerste herziening-2-19-1906-vlaardingen
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|20 maassluis_2e uitg_1903,eerste herziening-2-20-1903-maassluis
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|21 de lier_2e uitg_1906,
db/rvr/geojson/1e_herziening_serie2_1903_1907.geojson|22 hoek van holland_2e uitg_1906,eerste herziening-2-22-1906-hoek van holland
db/rvr/geojson/1e_herziening_serie3.geojson|01 westervoort_1877,eerste herziening-3-1-1877-westervoort
db/rvr/geojson/1e_herziening_serie3.geojson|02 rheden_1888,eerste herziening-3-2-1888-rheden
db/rvr/geojson/1e_herziening_serie3.geojson|02a genne_1906,eerste herziening-3-2-1906-genne
db/rvr/geojson/1e_herziening_serie3.geojson|03 doesburg_1888,eerste herziening-3-3-1888-doesburg
db/rvr/geojson/1e_herziening_serie3.geojson|03a zwartsluis_1908,eerste herziening-3-3-1908-zwartsluis
db/rvr/geojson/1e_herziening_serie3.geojson|04 brummen_1888,eerste herziening-3-4-1888-brummen
db/rvr/geojson/1e_herziening_serie3.geojson|04a kraggenburg_1906,eerste herziening-3-4-1906-kraggenburg
db/rvr/geojson/1e_herziening_serie3.geojson|05 zutphen_1889,eerste herziening-3-5-1889-zutphen
db/rvr/geojson/1e_herziening_serie3.geojson|06 gorssel_1889,eerste herziening-3-6-1889-gorssel
db/rvr/geojson/1e_herziening_serie3.geojson|07 deventer_1890,eerste herziening-3-7-1890-deventer
db/rvr/geojson/1e_herziening_serie3.geojson|08 olst_1889,eerste herziening-3-8-1889-olst
db/rvr/geojson/1e_herziening_serie3.geojson|09 wijhe_1890,eerste herziening-3-9-1890-wijhe
db/rvr/geojson/1e_herziening_serie3.geojson|10 windesheim_1890,eerste herziening-3-10-1890-windesheim
db/rvr/geojson/1e_herziening_serie3.geojson|11 zwolle_1892,eerste herziening-3-11-1892-zwolle
db/rvr/geojson/1e_herziening_serie3.geojson|12 zalk_1892,eerste herziening-3-12-1892-zalk
db/rvr/geojson/1e_herziening_serie3.geojson|13 kampen_1893,eerste herziening-3-13-1893-kampen
db/rvr/geojson/1e_herziening_serie3.geojson|14 keteldiep_1894,eerste herziening-3-14-1894-keteldiep
db/rvr/geojson/1e_herziening_serie3.geojson|15 ganzendiep en goot_1895,eerste herziening-3-15-1895-ganzendiep en goot
db/rvr/geojson/1e_herziening_serie4_5.geojson|01 lanaye_1893,eerste herziening-4 en 5-1-1893-lanaye
db/rvr/geojson/1e_herziening_serie4_5.geojson|03 itteren_1894,eerste herziening-4 en 5-3-1894-itteren
db/rvr/geojson/1e_herziening_serie4_5.geojson|04 stein_1895,eerste herziening-4 en 5-4-1895-stein
db/rvr/geojson/1e_herziening_serie4_5.geojson|05 berg_1896,eerste herziening-4 en 5-5-1896-berg
db/rvr/geojson/1e_herziening_serie4_5.geojson|09 horn_1903,eerste herziening-4 en 5-9-1903-horn
db/rvr/geojson/1e_herziening_serie4_5.geojson|10 neer_1903,eerste herziening-4 en 5-10-1903-neer
db/rvr/geojson/1e_herziening_serie4_5.geojson|11 kessel_1903,eerste herziening-4 en 5-11-1903-kessel
db/rvr/geojson/1e_herziening_serie4_5.geojson|16 vierlingsbeek_1900,eerste herziening-4 en 5-16-1900-vierlingsbeek
db/rvr/geojson/1e_herziening_serie4_5.geojson|17 sambeek_1900,eerste herziening-4 en 5-17-1900-sambeek
db/rvr/geojson/1e_herziening_serie4_5.geojson|20 linden_1898,eerste herziening-4 en 5-20-1898-linden
db/rvr/geojson/1e_herziening_serie4_5.geojson|21 grave_1898,eerste herziening-4 en 5-21-1898-grave
db/rvr/geojson/1e_herziening_serie4_5.geojson|22 ravenstein_1897,eerste herziening-4 en 5-22-1897-ravenstein
db/rvr/geojson/1e_herziening_serie4_5.geojson|23 megen_1898,eerste herziening-4 en 5-23-1898-megen
db/rvr/geojson/1e_herziening_serie4_5.geojson|30 zaltbommel_1875,eerste herziening-4 en 5-30-1873-zaltbommel
db/rvr/geojson/1e_herziening_serie4_5.geojson|31 driel_1883,eerste herziening-4 en 5-31-1883-driel
db/rvr/geojson/1e_herziening_serie4_5.geojson|32 hedel_1883,eerste herziening-4 en 5-32-1883-hedel
db/rvr/geojson/1e_herziening_serie4_5.geojson|33 heusden_1885,eerste herziening-4 en 5-33-1885-heusden
db/rvr/geojson/1e_herziening_serie4_5.geojson|34 wijk_1884,eerste herziening-4 en 5-34-1884-wijk
db/rvr/geojson/1e_herziening_serie4_5.geojson|35 brakel_1873,eerste herziening-4 en 5-35-1873-brakel
db/rvr/geojson/1e_herziening_serie4_5.geojson|36 gorinchem_1884,eerste herziening-4 en 5-36-1874-gorinchem
