Nr       ,Titel                                                             ,Verk.    ,Herz.    ,Bew.     ,Uitgave  ,Editie,W.krt,"Bijkrt, w.e.","Bijkrt, h.w.",Fys. Kenm.            ,Stempels                                                                                                 ,Prov.     ,op bladindex,Signatuur ,Opm.                                                                                                                                                                            ,Kartob.,Bewaard,Ex Aardwetenschappen, ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,1955     ,         ,         ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-West                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen (Oost)                                                  ,         ,1946     ,         ,         ,3     ,     ,              ,              ,                      ,Topografische-Dienst Kaartenarchief                                                                      ,Nugter    ,            ,LL.03515gk,Bewerking:Algemene Dienst Rijkswaterstaat; Reproductie: Topogrfafische Dienst                                                                                                   ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,1959     ,         ,1960     ,4     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,            ,LL.03516gk,                                                                                                                                                                                ,       ,VU     ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,1959     ,         ,1960     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,1974     ,         ,1975     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
3        ,Uithuizen-Oost                                                    ,         ,         ,         ,1975     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 1                                                        ,         ,         ,1868     ,         ,1     ,     ,              ,              ,                      ,Topographische Inrichting Kaartenarchief                                                                 ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 1                                                        ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 1                                                        ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,Geschenk Koninklijk Huisarchief 1971                                                                     ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 2                                                        ,         ,         ,1868     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting Kaartenarchief                                                                 ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 2                                                        ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland 2                                                        ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland                                                          ,         ,1947     ,         ,         ,3     ,     ,              ,              ,                      ,Bibl. Vrije Universiteit Amsterdam Aardwetenschappen                                                     ,VU        ,            ,LL.03515gk,ex Bibl. Aardwetenschappen                                                                                                                                                      ,       ,kan weg,                    , ,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland                                                          ,         ,1947     ,         ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03515gk,                                                                                                                                                                                ,       ,Nugter ,                    , ,                                            ,,,,,,,,,,,,,,,
4        ,Vlieland-Oost                                                     ,         ,1966     ,         ,1966     ,4     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03516gk,"Foutje in VU map, kaarten komen uit 1966 niet 1965, wellicht een andere edite?"                                                                                                ,       ,VU     ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
