editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,32,AMERSFOORT 2,Top. Inrigting,,1880,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/32 Amersfoort-2.jpg
1,32,AMERSFOORT 3,Top. Inrigting,,1880,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/32 Amersfoort-3.jpg
1,32,AMERSFOORT 4,Top. Inrigting,,1880,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/32 Amersfoort-4.jpg
1,33,ZUTPHEN 1,Top. Inrigting,,1881,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/33 Zutphen-1.jpg
1,33,ZUTPHEN 2,Top. Inrigting,,1881,1880,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/33 Zutphen-2.jpg
1,33,ZUTPHEN 3,Top. Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/33 Zutphen-3.jpg
1,33,ZUTPHEN 4,Top.Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/33 Zutphen-4.jpg
1,34,GROENLO 1,Top. Inrigting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/34 Groenlo-1.jpg
1,34,GROENLO 2,Top. Inrigting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/34 Groenlo-2.jpg
1,34,GROENLO 3,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/34 Groenlo-3.jpg
1,34,GROENLO 4,,,1881,,,,,,,Schaal van 10000 Meters,,,\rGeen jaartal,,,,eerste_editie/34 Groenlo-4.jpg
1,36,GOEDEREEDE,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/36 Goedereede.jpg
1,37,ROTTERDAM 1,Top. Inrigting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/37 Rotterdam-1.jpg
1,37,ROTTERDAM 2,Top. Inrigting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/37 Rotterdam-2.jpg
1,37,ROTTERDAM 3,Top. Inrigting,,1884,1883,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/37 Rotterdam-3.jpg
1,37,ROTTERDAM 4,Top. Inrigting,,1884,1882,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/37 Rotterdam-4.jpg
1,38,GORINCHEM 1,Top. Bur.,,1870,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/38 Gorinchem-1.jpg
1,38,GORINCHEM 2,Top. Bur.,,1870,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/38 Gorinchem-2.jpg
